WKT,code,type,subtype,width,length,gap,id_2022,id_2020,id_1987,enabled,area,perimeter,get_shape,img,start_poin,end_point,road
"POLYGON((15.3835098992568 36.24902023687,15.3835098594427 36.3495801649319,37.5067020915449 36.3495890299913,37.5067021313589 36.2490290286644,15.3835098992568 36.24902023687))",longitudinal-continua__0.1__0_21,longitudinal-continua,,0.100000000000000,,0.000000000000000,M2.2,M2.2,M2.2,"0",2.200000000000000,44.200000000000003,"0",catalog/M2_2.png,,,
"POLYGON((15.3835094829556 37.2546195174892,15.3835093511734 37.556299301675,37.5067015842069 37.5563090459138,37.5067017155234 37.2546290419332,15.3835094829556 37.2546195174892))",longitudinal-continua__0.4__0_22,longitudinal-continua,,0.400000000000000,,0.000000000000000,M2.4a,M2.4a,M2.4,"0",6.600000000000000,44.600000000000001,"0",catalog/M2_4a.png,,,
"POLYGON((38.5123044101056 27.1986290091517,38.9145444312599 27.1986290491144,38.9145445001777 26.3941490012007,38.5123044787906 26.3941489718947,38.5123044101056 27.1986290091517))",transversal-discontinua__0.4_0.8_0.4_23,transversal-discontinua,,0.400000000000000,0.800000000000000,0.400000000000000,M4.2,M4.2,M4.2,"1",0.320000000000000,2.400000000000000,"1",catalog/M4_2.png,,,
"POLYGON((38.5123045425862 25.1874289160093,38.5123045055661 25.9919089532663,38.9145445267204 25.9919089772439,38.9145445642062 25.1874289293302,38.5123045425862 25.1874289160093))",transversal-discontinua__0.4_0.8_0.4_24,transversal-discontinua,,0.400000000000000,0.800000000000000,0.400000000000000,M4.2,M4.2,M4.2,"0",0.320000000000000,2.400000000000000,"0",catalog/M4_2.png,,,
"POLYGON((16.2829476420302 23.4779093521541,15.3835122890305 23.4779093730046,16.3891115933657 23.9807090066538,17.2885469766334 23.9807090006965,16.2829476420302 23.4779093521541))",cebreado_derecho__0.4_1_25,cebreado,derecho,,0.400000000000000,1.000000000000000,M7.2a,M7.2a,M7.2a,"1",0.447214000000000,4.025000000000001,"1",catalog/M7_2a.png,,,
"POLYGON((19.4309715877753 23.4779092791773,18.5315361411776 23.4779093000278,19.5371355505195 23.9807089858033,20.4365710269194 23.980708979846,19.4309715877753 23.4779092791773))",cebreado_derecho__0.4_1_26,cebreado,derecho,,0.400000000000000,1.000000000000000,M7.2a,M7.2a,M7.2a,"0",0.447214000000000,4.025000000000001,"0",catalog/M7_2a.png,,,
"POLYGON((19.9087059202138 38.7127406398649,19.9087057739962 39.0144204690087,22.9255043973681 38.6373221187382,19.9087061332539 38.2602208961493,19.9087059919257 38.5619007252931,15.383508892497 38.5618985822942,15.3835088198539 38.7127384743871,19.9087059202138 38.7127406398649))",flecha_frente__7.5__27,flecha,frente,,7.500000000000000,,M5.1a,M5.1a,M5.11,"1",1.800000000000000,15.797000000000001,"1",catalog/M5_1a.png,Point (15.38350886 38.63731853),Point (22.9255044 38.63732212),"Autopistas, autovias,
carreteras multicarril y
carreteras convencionales"
"POLYGON((21.6182245786767 39.5675010219636,22.9255039403215 39.5675016843452,20.8640251243487 39.2658208011854,18.9031060847919 39.567499646248,20.1098253855016 39.5675002576771,19.5064654175658 40.1708596022576,15.3835080873687 40.1708574312848,15.3835080072749 40.3216973233777,19.3556254259311 40.3216994346562,20.8640245813876 40.3217002364076,21.0148645807058 40.170860396516,21.6182245786767 39.5675010219636))",flecha_derecha__7.5__28,flecha,derecha,,7.500000000000000,,M5.1b,M5.1b,M5.12,"1",2.328750000000000,18.154000000000000,"1",catalog/M5_1b.png,Point (15.38350805 40.24627738),Point (19.50646538 40.24627955),"Autopistas, autovias,
carreteras multicarril y
carreteras convencionales"
"POLYGON((19.9087037898134 42.6345784187338,22.9255024581216 42.2574804281275,19.9087042387109 41.8803788458744,19.9087040617596 42.1820586750181,17.9402617486194 42.1820575081437,17.5958254595753 42.182057303965,18.1991854293738 41.5786980373118,19.5064646436367 41.5786987862792,17.4449860800523 41.2770178005487,15.4840672414284 41.5786964817645,16.690786406165 41.5786971731188,16.087426465936 42.1820564098,15.3835069613997 42.182055992523,15.3835068717599 42.3328958846159,19.9087039721198 42.33289858959,19.9079636193928 42.3536787698355,19.9087037898134 42.6345784187338))",flecha_frente-derecha__7.5__29,flecha,frente-derecha,,7.500000000000000,,M5.1d,M5.1d,M5.13,"1",3.300000000000000,22.539000000000001,"1",catalog/M5_1d.png,Point (15.38350692 42.25747594),Point (22.92550246 42.25748043),"Autopistas, autovias,
carreteras multicarril y
carreteras convencionales"
"POLYGON((15.3835059977137 43.7407348774826,18.4003039898816 43.740736820668,18.4003037936054 44.0424166348257,20.4115028649103 43.6653181575903,18.4003042776603 43.2882170994314,18.4003040862735 43.5898969135891,15.3835060943384 43.5898949853897,15.3835059977137 43.7407348774826))",flecha_frente__5__30,flecha,frente,,5.000000000000000,,M5.2a,M5.2a,M5.21,"1",1.200000000000000,10.820000000000000,"1",catalog/M5_2a.png,Point (15.38350605 43.66531493),Point (20.41150286 43.66531816),Travesias y vias urbanas
"POLYGON((19.6070227075834 44.5954971053574,20.4115022541955 44.5954976461857,19.1042232026812 44.2938169461884,17.8975037408527 44.5954959560971,18.6014233038295 44.5954964293219,17.9980632655788 45.1988556440235,15.3835050233174 45.1988538343801,15.3835049187765 45.349693726473,17.8472232560162 45.3496954439524,18.85282263509 45.3496961449645,19.0036626495421 45.1988563400403,19.6070227075834 44.5954971053574))",flecha_derecha__5__31,flecha,derecha,,5.000000000000000,,M5.2b,M5.2b,M5.22,"1",1.503750000000000,12.180000000000000,"1",catalog/M5_2b.png,Point (15.38350497 45.27427378),Point (17.99806321 45.27427559),Travesias y vias urbanas
